#Name	Length	Bases	Coverage	Reads	RPKM	Frags	FPKM
k127_33261 flag=1 multi=9.3766 len=1322	1322	0	0.0000	0	0.0000	0	0.0000
k127_33454 flag=1 multi=2.0000 len=319	319	600	1.8809	4	204.5144	2	204.5144
k127_33985 flag=1 multi=4.0000 len=368	368	0	0.0000	0	0.0000	0	0.0000
k127_34359 flag=1 multi=17.4779 len=5358	5358	0	0.0000	0	0.0000	0	0.0000
k127_34503 flag=1 multi=4.7710 len=603	603	0	0.0000	0	0.0000	0	0.0000
k127_35244 flag=1 multi=6.1566 len=2490	2490	2599	1.0438	18	117.9038	9	117.9038
k127_35267 flag=1 multi=5.0000 len=574	574	3001	5.2282	22	625.1227	11	625.1227
k127_35478 flag=1 multi=8.0000 len=812	812	0	0.0000	0	0.0000	0	0.0000
k127_35873 flag=0 multi=82.3483 len=6360	6360	0	0.0000	0	0.0000	0	0.0000
k127_35898 flag=0 multi=12.0000 len=3031	3031	0	0.0000	0	0.0000	0	0.0000
k127_36027 flag=1 multi=3.0000 len=347	347	0	0.0000	0	0.0000	0	0.0000
k127_36066 flag=1 multi=2.0000 len=378	378	0	0.0000	0	0.0000	0	0.0000
k127_36241 flag=1 multi=2.0000 len=307	307	0	0.0000	0	0.0000	0	0.0000
k127_36249 flag=1 multi=2.0000 len=423	423	0	0.0000	0	0.0000	0	0.0000
k127_36496 flag=1 multi=8.0000 len=893	893	0	0.0000	0	0.0000	0	0.0000
k127_36709 flag=1 multi=3.0000 len=1236	1236	0	0.0000	0	0.0000	0	0.0000
k127_36843 flag=1 multi=12.0000 len=1526	1526	0	0.0000	0	0.0000	0	0.0000
k127_36990 flag=1 multi=5.0000 len=1930	1930	0	0.0000	0	0.0000	0	0.0000
k127_37069 flag=1 multi=9.6857 len=1600	1600	0	0.0000	0	0.0000	0	0.0000
k127_37098 flag=1 multi=18.5092 len=4921	4921	0	0.0000	0	0.0000	0	0.0000
k127_37878 flag=1 multi=14.0000 len=3250	3250	0	0.0000	0	0.0000	0	0.0000
k127_37960 flag=1 multi=1.0000 len=436	436	0	0.0000	0	0.0000	0	0.0000
k127_38114 flag=1 multi=2.0000 len=551	551	0	0.0000	0	0.0000	0	0.0000
k127_38549 flag=1 multi=6.0000 len=436	436	0	0.0000	0	0.0000	0	0.0000
k127_40574 flag=1 multi=2.0000 len=312	312	0	0.0000	0	0.0000	0	0.0000
k127_40924 flag=0 multi=42.9851 len=3492	3492	0	0.0000	0	0.0000	0	0.0000
k127_41989 flag=1 multi=4.0000 len=418	418	260	0.6220	2	78.0384	1	78.0384
k127_42019 flag=1 multi=6.0000 len=938	938	0	0.0000	0	0.0000	0	0.0000
k127_42261 flag=1 multi=11.0000 len=4572	4572	0	0.0000	0	0.0000	0	0.0000
k127_42891 flag=1 multi=3.0000 len=396	396	1198	3.0253	8	329.4954	4	329.4954
k127_43089 flag=1 multi=3.0000 len=587	587	750	1.2777	5	138.9269	2	111.1415
k127_43442 flag=0 multi=127.8411 len=920	920	0	0.0000	0	0.0000	0	0.0000
k127_43859 flag=1 multi=7.0000 len=917	917	0	0.0000	0	0.0000	0	0.0000
k127_43872 flag=1 multi=4.0000 len=541	541	0	0.0000	0	0.0000	0	0.0000
k127_44196 flag=1 multi=2.0000 len=340	340	0	0.0000	0	0.0000	0	0.0000
k127_44379 flag=0 multi=356.6250 len=5223	5223	0	0.0000	0	0.0000	0	0.0000
k127_44436 flag=1 multi=5.0000 len=315	315	600	1.9048	4	207.1114	2	207.1114
k127_44956 flag=1 multi=7.0000 len=841	841	0	0.0000	0	0.0000	0	0.0000
k127_45096 flag=1 multi=6.0000 len=391	391	0	0.0000	0	0.0000	0	0.0000
k127_45989 flag=1 multi=4.0000 len=905	905	0	0.0000	0	0.0000	0	0.0000
k127_46349 flag=1 multi=68.1169 len=3121	3121	0	0.0000	0	0.0000	0	0.0000
k127_46371 flag=0 multi=75.2975 len=1344	1344	0	0.0000	0	0.0000	0	0.0000
k127_46872 flag=1 multi=6.0000 len=306	306	0	0.0000	0	0.0000	0	0.0000
k127_46887 flag=1 multi=10.0000 len=2605	2605	0	0.0000	0	0.0000	0	0.0000
k127_47102 flag=1 multi=2.0000 len=541	541	0	0.0000	0	0.0000	0	0.0000
k127_47607 flag=0 multi=49.0560 len=395	395	0	0.0000	0	0.0000	0	0.0000
k127_48193 flag=0 multi=121.3249 len=5122	5122	0	0.0000	0	0.0000	0	0.0000
k127_48457 flag=1 multi=9.0000 len=440	440	740	1.6818	5	185.3411	2	148.2729
k127_48873 flag=1 multi=3.0000 len=319	319	0	0.0000	0	0.0000	0	0.0000
k127_48987 flag=1 multi=1.0000 len=365	365	0	0.0000	0	0.0000	0	0.0000
k127_49836 flag=1 multi=4.0000 len=317	317	0	0.0000	0	0.0000	0	0.0000
k127_49972 flag=1 multi=5.0000 len=430	430	1453	3.3791	10	379.3028	5	379.3028
k127_50052 flag=1 multi=3.0000 len=1122	1122	0	0.0000	0	0.0000	0	0.0000
k127_50374 flag=1 multi=8.0000 len=301	301	0	0.0000	0	0.0000	0	0.0000
k127_50401 flag=1 multi=2.0000 len=355	355	0	0.0000	0	0.0000	0	0.0000
k127_53038 flag=1 multi=5.0000 len=535	535	1884	3.5215	13	396.3183	6	365.8322
k127_53737 flag=1 multi=7.0000 len=1486	1486	0	0.0000	0	0.0000	0	0.0000
k127_54190 flag=1 multi=3.0000 len=429	429	0	0.0000	0	0.0000	0	0.0000
k127_54997 flag=1 multi=5.0000 len=392	392	0	0.0000	0	0.0000	0	0.0000
k127_55311 flag=1 multi=1.0000 len=322	322	0	0.0000	0	0.0000	0	0.0000
k127_57463 flag=1 multi=3.0000 len=513	513	0	0.0000	0	0.0000	0	0.0000
k127_57474 flag=1 multi=6.0000 len=551	551	284	0.5154	2	59.2015	1	59.2015
k127_58135 flag=1 multi=3.0000 len=324	324	0	0.0000	0	0.0000	0	0.0000
k127_58849 flag=1 multi=8.0000 len=924	924	0	0.0000	0	0.0000	0	0.0000
k127_59617 flag=1 multi=3.0000 len=375	375	0	0.0000	0	0.0000	0	0.0000
k127_59664 flag=1 multi=2.0000 len=526	526	0	0.0000	0	0.0000	0	0.0000
k127_60276 flag=1 multi=8.0000 len=1456	1456	0	0.0000	0	0.0000	0	0.0000
k127_60811 flag=1 multi=3.0000 len=979	979	0	0.0000	0	0.0000	0	0.0000
k127_61251 flag=1 multi=2.0000 len=413	413	0	0.0000	0	0.0000	0	0.0000
k127_61387 flag=1 multi=6.0000 len=915	915	0	0.0000	0	0.0000	0	0.0000
k127_61442 flag=1 multi=7.0000 len=1261	1261	0	0.0000	0	0.0000	0	0.0000
k127_61570 flag=1 multi=4.0000 len=677	677	2723	4.0222	19	457.7406	9	433.6490
k127_62139 flag=1 multi=4.0000 len=531	531	0	0.0000	0	0.0000	0	0.0000
k127_62985 flag=1 multi=1.0000 len=303	303	0	0.0000	0	0.0000	0	0.0000
k127_63371 flag=1 multi=1.0000 len=350	350	0	0.0000	0	0.0000	0	0.0000
k127_63659 flag=1 multi=13.6697 len=348	348	0	0.0000	0	0.0000	0	0.0000
k127_64629 flag=1 multi=83.0000 len=341	341	790	2.3167	6	286.9798	3	286.9798
k127_65141 flag=1 multi=4.0000 len=809	809	0	0.0000	0	0.0000	0	0.0000
k127_65311 flag=1 multi=70.7291 len=2991	2991	0	0.0000	0	0.0000	0	0.0000
k127_65704 flag=0 multi=106.0000 len=1803	1803	0	0.0000	0	0.0000	0	0.0000
k127_66311 flag=1 multi=1.0000 len=429	429	0	0.0000	0	0.0000	0	0.0000
k127_66411 flag=0 multi=55.7622 len=4437	4437	0	0.0000	0	0.0000	0	0.0000
k127_68496 flag=1 multi=3.0000 len=433	433	0	0.0000	0	0.0000	0	0.0000
k127_68736 flag=1 multi=3.0000 len=631	631	1347	2.1347	9	232.6310	4	206.7831
k127_68876 flag=1 multi=3.0000 len=435	435	600	1.3793	4	149.9772	2	149.9772
k127_69169 flag=0 multi=139.2021 len=3334	3334	428250	128.4493	2956	14460.8340	1478	14460.8340
k127_69786 flag=1 multi=7.0000 len=718	718	0	0.0000	0	0.0000	0	0.0000
k127_69792 flag=1 multi=2.0000 len=310	310	0	0.0000	0	0.0000	0	0.0000
k127_70788 flag=0 multi=102.2464 len=618	618	0	0.0000	0	0.0000	0	0.0000
k127_70884 flag=1 multi=2.0000 len=461	461	0	0.0000	0	0.0000	0	0.0000
k127_70894 flag=1 multi=88.9126 len=825	825	0	0.0000	0	0.0000	0	0.0000
k127_71077 flag=1 multi=19.0000 len=4550	4550	0	0.0000	0	0.0000	0	0.0000
k127_71201 flag=1 multi=5.0000 len=587	587	0	0.0000	0	0.0000	0	0.0000
k127_71265 flag=1 multi=17.0000 len=3079	3079	0	0.0000	0	0.0000	0	0.0000
k127_72745 flag=1 multi=4.0000 len=636	636	0	0.0000	0	0.0000	0	0.0000
k127_73400 flag=1 multi=3.0000 len=333	333	0	0.0000	0	0.0000	0	0.0000
k127_74727 flag=1 multi=6.0000 len=694	694	0	0.0000	0	0.0000	0	0.0000
k127_75341 flag=1 multi=3.0000 len=568	568	0	0.0000	0	0.0000	0	0.0000
k127_76030 flag=1 multi=11.0000 len=579	579	299	0.5164	2	56.3386	1	56.3386
k127_76208 flag=1 multi=3.0000 len=458	458	2250	4.9127	15	534.1710	7	498.5596
k127_76604 flag=1 multi=5.0000 len=522	522	1455	2.7874	10	312.4525	5	312.4525
k127_77492 flag=1 multi=5.0000 len=521	521	0	0.0000	0	0.0000	0	0.0000
k127_77591 flag=1 multi=5.0000 len=1430	1430	2076	1.4517	14	159.6785	7	159.6785
k127_77692 flag=1 multi=3.0000 len=517	517	0	0.0000	0	0.0000	0	0.0000
k127_78454 flag=1 multi=4.0000 len=1380	1380	0	0.0000	0	0.0000	0	0.0000
k127_78989 flag=1 multi=3.0000 len=366	366	0	0.0000	0	0.0000	0	0.0000
k127_79275 flag=1 multi=6.0000 len=954	954	0	0.0000	0	0.0000	0	0.0000
k127_79594 flag=1 multi=1.0000 len=320	320	0	0.0000	0	0.0000	0	0.0000
k127_79682 flag=1 multi=8.0000 len=2372	2372	0	0.0000	0	0.0000	0	0.0000
k127_79720 flag=1 multi=5.0000 len=376	376	0	0.0000	0	0.0000	0	0.0000
k127_79940 flag=1 multi=1.0000 len=441	441	600	1.3605	4	147.9367	2	147.9367
k127_80738 flag=1 multi=10.0000 len=4223	4223	0	0.0000	0	0.0000	0	0.0000
k127_80769 flag=1 multi=5.0000 len=429	429	0	0.0000	0	0.0000	0	0.0000
k127_80793 flag=1 multi=865.0000 len=2415	2415	0	0.0000	0	0.0000	0	0.0000
k127_81464 flag=1 multi=4.0000 len=498	498	0	0.0000	0	0.0000	0	0.0000
k127_81731 flag=1 multi=75.0000 len=9291	9291	0	0.0000	0	0.0000	0	0.0000
k127_81926 flag=1 multi=6.0000 len=1217	1217	3037	2.4955	21	281.4383	10	268.0365
k127_82029 flag=1 multi=541.0000 len=4338	4338	0	0.0000	0	0.0000	0	0.0000
k127_82117 flag=1 multi=4.0000 len=974	974	300	0.3080	2	33.4908	1	33.4908
k127_82353 flag=1 multi=7.0000 len=457	457	0	0.0000	0	0.0000	0	0.0000
k127_82414 flag=1 multi=3.0000 len=404	404	0	0.0000	0	0.0000	0	0.0000
k127_83204 flag=1 multi=3.0000 len=335	335	0	0.0000	0	0.0000	0	0.0000
k127_83368 flag=0 multi=16.7262 len=1219	1219	0	0.0000	0	0.0000	0	0.0000
k127_84204 flag=1 multi=11.3718 len=3231	3231	0	0.0000	0	0.0000	0	0.0000
k127_84441 flag=1 multi=2.0000 len=343	343	897	2.6152	6	285.3065	3	285.3065
k127_84571 flag=1 multi=4.0000 len=483	483	0	0.0000	0	0.0000	0	0.0000
k127_85153 flag=1 multi=89.0000 len=551	551	0	0.0000	0	0.0000	0	0.0000
k127_85444 flag=1 multi=27.3199 len=11282	11282	0	0.0000	0	0.0000	0	0.0000
k127_85566 flag=0 multi=75.8044 len=1088	1088	0	0.0000	0	0.0000	0	0.0000
k127_85710 flag=1 multi=7.0000 len=305	305	0	0.0000	0	0.0000	0	0.0000
k127_85944 flag=1 multi=53.9535 len=2084	2084	0	0.0000	0	0.0000	0	0.0000
k127_86131 flag=1 multi=4.0000 len=311	311	0	0.0000	0	0.0000	0	0.0000
k127_86170 flag=1 multi=16.4212 len=1200	1200	0	0.0000	0	0.0000	0	0.0000
k127_87946 flag=1 multi=8.0000 len=842	842	0	0.0000	0	0.0000	0	0.0000
k127_88119 flag=1 multi=3.0000 len=569	569	786	1.3814	6	171.9862	3	171.9862
k127_88152 flag=0 multi=171.2393 len=1435	1435	0	0.0000	0	0.0000	0	0.0000
k127_88444 flag=1 multi=8.0000 len=2011	2011	0	0.0000	0	0.0000	0	0.0000
k127_88591 flag=1 multi=24.8101 len=4329	4329	0	0.0000	0	0.0000	0	0.0000
k127_88938 flag=1 multi=15.0000 len=321	321	0	0.0000	0	0.0000	0	0.0000
k127_89111 flag=1 multi=2.0000 len=743	743	0	0.0000	0	0.0000	0	0.0000
k127_89257 flag=1 multi=3.0000 len=304	304	600	1.9737	4	214.6055	2	214.6055
k127_89266 flag=1 multi=20.0000 len=3286	3286	18691	5.6881	128	635.3264	64	635.3264
k127_89621 flag=1 multi=10.0000 len=3305	3305	0	0.0000	0	0.0000	0	0.0000
k127_89788 flag=0 multi=157.3183 len=2537	2537	55022	21.6878	380	2442.9672	190	2442.9672
k127_90051 flag=1 multi=2.0000 len=466	466	0	0.0000	0	0.0000	0	0.0000
k127_90163 flag=0 multi=49.3234 len=2539	2539	31726	12.4955	221	1419.6591	110	1413.2353
k127_90376 flag=0 multi=7.0110 len=1038	1038	0	0.0000	0	0.0000	0	0.0000
k127_90424 flag=0 multi=1.0000 len=417	417	0	0.0000	0	0.0000	0	0.0000
k127_90861 flag=1 multi=2.0000 len=354	354	0	0.0000	0	0.0000	0	0.0000
k127_91142 flag=1 multi=5.0000 len=758	758	0	0.0000	0	0.0000	0	0.0000
k127_91234 flag=1 multi=10.0000 len=726	726	0	0.0000	0	0.0000	0	0.0000
k127_91433 flag=1 multi=9.0000 len=3348	3348	0	0.0000	0	0.0000	0	0.0000
k127_91556 flag=1 multi=2.0000 len=337	337	0	0.0000	0	0.0000	0	0.0000
k127_93364 flag=1 multi=6.0000 len=356	356	0	0.0000	0	0.0000	0	0.0000
k127_93415 flag=1 multi=74.0000 len=3001	3001	0	0.0000	0	0.0000	0	0.0000
k127_93447 flag=1 multi=2.0000 len=301	301	0	0.0000	0	0.0000	0	0.0000
k127_93476 flag=1 multi=3.0000 len=932	932	0	0.0000	0	0.0000	0	0.0000
k127_93655 flag=1 multi=2.0000 len=614	614	584	0.9511	4	106.2542	2	106.2542
k127_94089 flag=1 multi=3.0000 len=475	475	0	0.0000	0	0.0000	0	0.0000
k127_94206 flag=1 multi=3.0000 len=309	309	0	0.0000	0	0.0000	0	0.0000
k127_94691 flag=1 multi=5.0000 len=979	979	0	0.0000	0	0.0000	0	0.0000
k127_94694 flag=1 multi=6.0000 len=719	719	0	0.0000	0	0.0000	0	0.0000
k127_94758 flag=1 multi=4.0000 len=398	398	0	0.0000	0	0.0000	0	0.0000
k127_95512 flag=1 multi=1.0000 len=381	381	0	0.0000	0	0.0000	0	0.0000
k127_95888 flag=1 multi=7.0000 len=6596	6596	0	0.0000	0	0.0000	0	0.0000
k127_96514 flag=1 multi=14.6447 len=3113	3113	0	0.0000	0	0.0000	0	0.0000
k127_98143 flag=1 multi=6.0000 len=1079	1079	0	0.0000	0	0.0000	0	0.0000
k127_98660 flag=1 multi=8.0000 len=4365	4365	0	0.0000	0	0.0000	0	0.0000
k127_99040 flag=1 multi=4.0000 len=740	740	0	0.0000	0	0.0000	0	0.0000
k127_100512 flag=1 multi=3.0000 len=569	569	0	0.0000	0	0.0000	0	0.0000
k127_100543 flag=1 multi=18.0000 len=1063	1063	0	0.0000	0	0.0000	0	0.0000
k127_100544 flag=1 multi=5.0000 len=307	307	0	0.0000	0	0.0000	0	0.0000
k127_100641 flag=1 multi=4.0000 len=606	606	0	0.0000	0	0.0000	0	0.0000
k127_100670 flag=1 multi=3.0000 len=541	541	0	0.0000	0	0.0000	0	0.0000
k127_100893 flag=1 multi=13.0000 len=1628	1628	0	0.0000	0	0.0000	0	0.0000
k127_101970 flag=0 multi=47.1267 len=1793	1793	0	0.0000	0	0.0000	0	0.0000
k127_102874 flag=0 multi=69.4474 len=355	355	0	0.0000	0	0.0000	0	0.0000
k127_103475 flag=1 multi=2.0000 len=474	474	0	0.0000	0	0.0000	0	0.0000
k127_104170 flag=1 multi=3.0000 len=878	878	0	0.0000	0	0.0000	0	0.0000
k127_104451 flag=1 multi=3.0000 len=310	310	214	0.6903	2	105.2259	1	105.2259
k127_104717 flag=1 multi=3.0000 len=302	302	0	0.0000	0	0.0000	0	0.0000
k127_104729 flag=0 multi=17.2695 len=936	936	0	0.0000	0	0.0000	0	0.0000
k127_105371 flag=1 multi=3.0000 len=448	448	0	0.0000	0	0.0000	0	0.0000
k127_105455 flag=1 multi=3.0000 len=920	920	0	0.0000	0	0.0000	0	0.0000
k127_106104 flag=1 multi=7.2897 len=769	769	0	0.0000	0	0.0000	0	0.0000
k127_106480 flag=1 multi=5.0000 len=689	689	0	0.0000	0	0.0000	0	0.0000
k127_107211 flag=1 multi=3.0000 len=593	593	0	0.0000	0	0.0000	0	0.0000
k127_107622 flag=1 multi=6.0000 len=314	314	0	0.0000	0	0.0000	0	0.0000
k127_108201 flag=1 multi=39.0000 len=4882	4882	0	0.0000	0	0.0000	0	0.0000
k127_108691 flag=1 multi=1.0000 len=363	363	0	0.0000	0	0.0000	0	0.0000
k127_108789 flag=1 multi=359.1254 len=4258	4258	0	0.0000	0	0.0000	0	0.0000
k127_109058 flag=1 multi=44.0000 len=3615	3615	0	0.0000	0	0.0000	0	0.0000
k127_109603 flag=0 multi=52.2678 len=1266	1266	0	0.0000	0	0.0000	0	0.0000
k127_110705 flag=1 multi=2.0000 len=376	376	0	0.0000	0	0.0000	0	0.0000
k127_110828 flag=1 multi=3.0000 len=337	337	0	0.0000	0	0.0000	0	0.0000
k127_110924 flag=1 multi=3.0000 len=498	498	0	0.0000	0	0.0000	0	0.0000
k127_111317 flag=1 multi=17.0000 len=1155	1155	4704	4.0727	34	480.1218	17	480.1218
k127_111737 flag=1 multi=4.0000 len=307	307	0	0.0000	0	0.0000	0	0.0000
k127_111894 flag=1 multi=3.0000 len=453	453	0	0.0000	0	0.0000	0	0.0000
k127_112238 flag=1 multi=6.0000 len=600	600	0	0.0000	0	0.0000	0	0.0000
k127_113013 flag=0 multi=26.9615 len=3741	3741	0	0.0000	0	0.0000	0	0.0000
k127_113445 flag=1 multi=24.0000 len=2179	2179	0	0.0000	0	0.0000	0	0.0000
k127_113974 flag=1 multi=10.0000 len=604	604	3114	5.1556	22	594.0736	11	594.0736
k127_114017 flag=1 multi=13.0000 len=5272	5272	0	0.0000	0	0.0000	0	0.0000
k127_114137 flag=1 multi=114.0000 len=1254	1254	0	0.0000	0	0.0000	0	0.0000
k127_114433 flag=0 multi=59.0000 len=1974	1974	0	0.0000	0	0.0000	0	0.0000
k127_114441 flag=1 multi=18.0000 len=2473	2473	0	0.0000	0	0.0000	0	0.0000
k127_114976 flag=1 multi=4.0000 len=1124	1124	0	0.0000	0	0.0000	0	0.0000
k127_116599 flag=1 multi=3.0000 len=514	514	0	0.0000	0	0.0000	0	0.0000
k127_116630 flag=1 multi=4.0000 len=1075	1075	0	0.0000	0	0.0000	0	0.0000
k127_117146 flag=1 multi=2.0000 len=390	390	0	0.0000	0	0.0000	0	0.0000
k127_118488 flag=1 multi=3.0000 len=702	702	0	0.0000	0	0.0000	0	0.0000
k127_118547 flag=1 multi=8.0000 len=1769	1769	0	0.0000	0	0.0000	0	0.0000
k127_118665 flag=1 multi=1.0000 len=438	438	0	0.0000	0	0.0000	0	0.0000
k127_119541 flag=1 multi=7.0000 len=414	414	0	0.0000	0	0.0000	0	0.0000
k127_120039 flag=1 multi=15.0000 len=850	850	2648	3.1153	18	345.3887	9	345.3887
k127_120365 flag=1 multi=28.0000 len=1014	1014	0	0.0000	0	0.0000	0	0.0000
k127_120498 flag=1 multi=3.0000 len=458	458	0	0.0000	0	0.0000	0	0.0000
k127_120512 flag=1 multi=1.0000 len=403	403	0	0.0000	0	0.0000	0	0.0000
k127_120935 flag=0 multi=149.0592 len=1646	1646	0	0.0000	0	0.0000	0	0.0000
k127_121925 flag=1 multi=2.0000 len=424	424	0	0.0000	0	0.0000	0	0.0000
k127_122062 flag=1 multi=2.0000 len=437	437	0	0.0000	0	0.0000	0	0.0000
k127_122152 flag=1 multi=4.7249 len=1479	1479	0	0.0000	0	0.0000	0	0.0000
k127_122769 flag=1 multi=4.0000 len=335	335	587	1.7522	4	194.7465	2	194.7465
k127_123361 flag=1 multi=3.0000 len=493	493	0	0.0000	0	0.0000	0	0.0000
k127_123921 flag=1 multi=2.0000 len=303	303	600	1.9802	4	215.3138	2	215.3138
k127_125458 flag=1 multi=1.0000 len=330	330	0	0.0000	0	0.0000	0	0.0000
k127_125520 flag=1 multi=8.0000 len=503	503	0	0.0000	0	0.0000	0	0.0000
k127_125594 flag=1 multi=11.0000 len=1322	1322	0	0.0000	0	0.0000	0	0.0000
k127_126162 flag=0 multi=13.9776 len=1692	1692	1500	0.8865	10	96.3949	5	96.3949
k127_126401 flag=1 multi=5.0000 len=490	490	0	0.0000	0	0.0000	0	0.0000
k127_126843 flag=1 multi=6.0000 len=981	981	0	0.0000	0	0.0000	0	0.0000
